src,dst,syn_count,nt,sign,weight
1836,446,18,ACH,1.0,2.9444389791664403
1618,771,6,GABA,-1.0,-1.9459101490553132
879,385,12,ACH,1.0,2.5649493574615367
200,672,39,GABA,-1.0,-3.6888794541139363
589,46,55,GABA,-1.0,-4.02535169073515
1113,1462,25,GABA,-1.0,-3.258096538021482
1445,260,5,GABA,-1.0,-1.791759469228055
1306,663,5,ACH,1.0,1.791759469228055
1761,188,40,GABA,-1.0,-3.713572066704308
216,33,45,GABA,-1.0,-3.828641396489095
146,920,8,ACH,1.0,2.1972245773362196
1119,1162,205,ACH,1.0,5.327876168789581
937,688,21,ACH,1.0,3.091042453358316
1426,462,14,ACH,1.0,2.70805020110221
224,645,12,ACH,1.0,2.5649493574615367
1418,1432,6,GABA,-1.0,-1.9459101490553132
561,271,20,ACH,1.0,3.044522437723423
1060,1443,11,ACH,1.0,2.4849066497880004
1500,880,41,GLUT,-1.0,-3.7376696182833684
101,1216,13,ACH,1.0,2.6390573296152584
1602,1863,23,ACH,1.0,3.1780538303479458
700,1484,5,ACH,1.0,1.791759469228055
947,191,72,ACH,1.0,4.290459441148391
1002,11,8,ACH,1.0,2.1972245773362196
947,464,18,ACH,1.0,2.9444389791664403
130,355,7,GABA,-1.0,-2.0794415416798357
1148,623,10,ACH,1.0,2.3978952727983707
488,1316,7,ACH,1.0,2.0794415416798357
482,20,28,ACH,1.0,3.367295829986474
384,1573,65,ACH,1.0,4.189654742026425
432,1454,25,ACH,1.0,3.258096538021482
1470,1497,9,ACH,1.0,2.302585092994046
462,1809,12,ACH,1.0,2.5649493574615367
1212,1057,8,ACH,1.0,2.1972245773362196
776,1605,71,ACH,1.0,4.276666119016055
384,1772,5,ACH,1.0,1.791759469228055
1775,9,9,ACH,1.0,2.302585092994046
918,14,12,GABA,-1.0,-2.5649493574615367
1696,784,5,GABA,-1.0,-1.791759469228055
1440,99,11,ACH,1.0,2.4849066497880004
228,524,25,ACH,1.0,3.258096538021482
104,1597,7,ACH,1.0,2.0794415416798357
1529,1446,17,GABA,-1.0,-2.8903717578961645
33,438,8,GABA,-1.0,-2.1972245773362196
640,1109,11,ACH,1.0,2.4849066497880004
1061,1253,7,GLUT,-1.0,-2.0794415416798357
52,951,5,ACH,1.0,1.791759469228055
1012,116,21,GLUT,-1.0,-3.091042453358316
581,1853,7,ACH,1.0,2.0794415416798357
356,351,6,ACH,1.0,1.9459101490553132
1739,623,20,ACH,1.0,3.044522437723423
485,74,21,GABA,-1.0,-3.091042453358316
1570,1509,13,ACH,1.0,2.6390573296152584
1409,846,128,ACH,1.0,4.859812404361672
266,713,17,ACH,1.0,2.8903717578961645
1121,937,5,GABA,-1.0,-1.791759469228055
1729,1045,22,ACH,1.0,3.1354942159291497
770,1002,13,ACH,1.0,2.6390573296152584
489,935,6,GABA,-1.0,-1.9459101490553132
444,1862,8,ACH,1.0,2.1972245773362196
31,1529,18,GABA,-1.0,-2.9444389791664403
1297,968,6,ACH,1.0,1.9459101490553132
851,464,6,GABA,-1.0,-1.9459101490553132
1415,1345,34,GABA,-1.0,-3.5553480614894135
