src,dst,syn_count,nt,sign,weight
1688,1091,8,ACH,1.0,2.1972245773362196
633,176,11,GABA,-1.0,-2.4849066497880004
710,1660,7,ACH,1.0,2.0794415416798357
731,92,13,GABA,-1.0,-2.6390573296152584
67,601,5,ACH,1.0,1.791759469228055
1485,163,6,ACH,1.0,1.9459101490553132
33,306,10,GABA,-1.0,-2.3978952727983707
1129,1016,13,ACH,1.0,2.6390573296152584
180,493,5,ACH,1.0,1.791759469228055
1287,548,8,ACH,1.0,2.1972245773362196
565,515,51,GABA,-1.0,-3.9512437185814275
1754,354,57,GABA,-1.0,-4.060443010546419
373,819,34,ACH,1.0,3.5553480614894135
1311,827,24,ACH,1.0,3.2188758248682006
1457,1673,5,GLUT,-1.0,-1.791759469228055
1480,755,19,ACH,1.0,2.995732273553991
1149,188,35,GABA,-1.0,-3.58351893845611
462,743,39,ACH,1.0,3.6888794541139363
942,949,6,ACH,1.0,1.9459101490553132
705,1812,16,GABA,-1.0,-2.833213344056216
214,660,22,ACH,1.0,3.1354942159291497
