idx,root_id,primary_type,additional_type,super_class,role
313,720575940614167483,CB2034,aSP18,central,interneuron
314,720575940614205708,JO-B,,sensory,input_wind
315,720575940614207894,AVLP442,,central,interneuron
316,720575940614209576,LPLC4,,visual_projection,interneuron
317,720575940614279867,CB1143,,central,interneuron
318,720575940614280554,JO-A,,sensory,interneuron
319,720575940614310802,CB2664,B1-4,central,interneuron
320,720575940614311746,LTe18,,visual_projection,interneuron
321,720575940614314415,LMa1,,optic,interneuron
322,720575940614342038,DNge047,,descending,output
323,720575940614367338,AVLP339,,central,interneuron
324,720575940614373279,LPLC2,,visual_projection,input_vision
325,720575940614434302,CB1378,,central,interneuron
326,720575940614492397,PVLP151,,central,interneuron
327,720575940614526974,LPLC2,,visual_projection,input_vision
328,720575940614544582,JO-A,,sensory,interneuron
329,720575940614572742,LC4,,visual_projection,interneuron
330,720575940614581410,DNp59,CL247,descending,interneuron
331,720575940614582946,LC4,,visual_projection,interneuron
332,720575940614631079,LPLC2,,visual_projection,input_vision
