idx,root_id,primary_type,additional_type,super_class,role
1763,720575940641148149,DNp42,,descending,output
1764,720575940641173632,DNp69,CL304,descending,output
1765,720575940641211520,CB3921,,central,interneuron
1766,720575940641213824,LC4,,visual_projection,interneuron
1767,720575940641216976,LPLC4,,visual_projection,interneuron
1768,720575940641227136,LPLC4,,visual_projection,interneuron
1769,720575940641278965,DNp43,CL332,descending,output
1770,720575940641305229,DNg02_d,,descending,output
1771,720575940641396078,JO-B,,sensory,input_wind
1772,720575940641464309,SAD013,,central,interneuron
1773,720575940641511888,LPLC4,,visual_projection,interneuron
1774,720575940641552347,LPLC2,,visual_projection,input_vision
1775,720575940641627099,CB1455,aSP18,central,interneuron
1776,720575940641704656,LPLC2,,visual_projection,input_vision
1777,720575940642108557,JO-B,,sensory,input_wind
1778,720575940642123917,JO-B,,sensory,input_wind
1779,720575940642181005,LPLC4,,visual_projection,interneuron
1780,720575940642397128,LPLC2,,visual_projection,input_vision
1781,720575940642414837,LPLC2,,visual_projection,input_vision
1782,720575940642414989,JO-B,,sensory,input_wind
1783,720575940642422157,AN_multi_8,,ascending,interneuron
1784,720575940642428557,CB1038,,central,interneuron
1785,720575940642442893,JO-B,,sensory,input_wind
1786,720575940642474637,CB2576,,central,interneuron
1787,720575940642582039,JO-C,,sensory,input_wind
1788,720575940642897312,JO-B,,sensory,input_wind
1789,720575940642943176,SAD015,SAD018,central,interneuron
1790,720575940643259277,CB0214,,central,interneuron
1791,720575940643347616,DNp55,WED180,descending,output
1792,720575940643418990,JO-B,,sensory,input_wind
1793,720575940643439816,CB0414,,central,interneuron
1794,720575940643740964,LPLC2,,visual_projection,input_vision
1795,720575940643744968,CB0986,,central,interneuron
1796,720575940643746084,LLPC2,"LLPC2a, LLPC2b, LLPC2c, LLPC2d",visual_projection,interneuron
1797,720575940643791304,JO-B,,sensory,input_wind
1798,720575940643795492,,,central,interneuron
1799,720575940643888584,JO-B,,sensory,input_wind
1800,720575940643889608,,,central,interneuron
1801,720575940643912608,JO-B,,sensory,input_wind
1802,720575940644057635,JO-B,,sensory,input_wind
1803,720575940644096712,AN_GNG_AMMC_1,,ascending,interneuron
